time,q_0,q_1,q_2,q_3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,height,left_motor_vel,left_motor_pos,left_motor_tor,right_motor_vel,right_motor_pos,right_motor_tor,gait_pred,terrain_pred,label,target_torque
5.344,0.8211337453269245,-0.12297245746547647,0.02583352407110695,-0.5566643778133822,0.09521629663538533,-0.23682001983672762,0.9546044098573248,0.2410925459678026,-0.18616006713969568,0.8514534218356573,8955.598411297704,-0.12286564431219915,-0.124098420691233,-0.00025940337224383825,-0.0060425726710917615,-0.24800503547722563,-0.00025940337224383825,0,1,0,0.9999542229343099
5.354,0.8210727092393377,-0.12297245746547647,0.025864042114900343,-0.5567559319447624,0.09521629663538533,-0.23682001983672762,0.9546044098573248,0.2410925459678026,-0.18616006713969568,0.8514534218356573,8955.598411297704,-0.12286564431219915,-0.124098420691233,-0.00025940337224383825,-0.0060425726710917615,-0.24800503547722563,-0.00025940337224383825,0,1,0,0.9999542229343099
5.364,0.8210116731517509,-0.12297245746547647,0.025864042114900343,-0.5568474860761425,0.09521629663538533,-0.23682001983672762,0.9594872968642676,0.2410925459678026,-0.18616006713969568,1.0955977721827992,8955.598411297704,-0.12286564431219915,-0.124098420691233,-0.00025940337224383825,-0.0060425726710917615,-0.24800503547722563,-0.00025940337224383825,0,1,0,0.9999542229343099
5.374,0.8209506370641642,-0.12297245746547647,0.025864042114900343,-0.5569085221637293,0.09521629663538533,-0.23682001983672762,0.9594872968642676,0.2410925459678026,-0.18616006713969568,1.0955977721827992,8955.598411297704,-0.12286564431219915,-0.124098420691233,-0.00025940337224383825,-0.0060425726710917615,-0.24800503547722563,-0.00025940337224383825,0,1,0,0.9999542229343099
5.384,0.8208896009765774,-0.12297245746547647,0.025894560158693736,-0.5570000762951095,0.0903334096284425,-0.23682001983672762,0.9594872968642676,-0.0030518043793392735,-0.12512397955291021,1.1566338597695847,8955.598411297704,-0.12286564431219915,-0.124098420691233,-0.00025940337224383825,-0.0060425726710917615,-0.24800503547722563,-0.00025940337224383825,0,1,0,0.9999542229343099
5.394,0.8208285648889906,-0.12300297550926986,0.02595559624628052,-0.5570916304264897,0.0903334096284425,-0.23682001983672762,0.9594872968642676,-0.0030518043793392735,-0.12512397955291021,1.1566338597695847,8955.598411297704,-0.12286564431219915,-0.124098420691233,-0.00025940337224383825,-0.0060425726710917615,-0.24800503547722563,-0.00025940337224383825,0,1,0,0.9999542229343099
5.404,0.8207675288014038,-0.12300297550926986,0.025986114290073914,-0.5571831845578699,0.08545052262149966,-0.2319371328297848,0.9594872968642676,-0.18616006713969568,-0.06408789196612474,0.9735255970092282,8955.598411297704,-0.12286564431219915,-0.124098420691233,-0.00025940337224383825,-0.0060425726710917615,-0.24800503547722563,-0.00025940337224383825,0,1,0,0.9999542229343099
5.414,0.820706492713817,-0.12303349355306326,0.0260471503776607,-0.55727473868925,0.08545052262149966,-0.2319371328297848,0.9594872968642676,-0.18616006713969568,-0.06408789196612474,0.9735255970092282,8955.598411297704,-0.12286564431219915,-0.124098420691233,-0.00025940337224383825,-0.0060425726710917615,-0.24800503547722563,-0.00025940337224383825,0,1,0,0.9999542229343099
5.424,0.8206149385824368,-0.12306401159685665,0.026108186465247485,-0.5573968108644236,0.08545052262149966,-0.2319371328297848,0.9594872968642676,-0.49134050507362304,-0.0030518043793392735,0.6073090714885154,8955.598411297704,-0.12286564431219915,-0.124098420691233,-0.00025940337224383825,-0.0060425726710917615,-0.24800503547722563,-0.00025940337224383825,0,1,0,0.9999542229343099
5.434,0.8205233844510567,-0.12309452964065004,0.02616922255283427,-0.5575188830395972,0.08545052262149966,-0.2319371328297848,0.9594872968642676,-0.49134050507362304,-0.0030518043793392735,0.6073090714885154,8955.598411297704,-0.12286564431219915,-0.124098420691233,-0.00025940337224383825,-0.0060425726710917615,-0.24800503547722563,-0.00025940337224383825,0,1,0,0.9999542229343099
5.447,0.8204318303196765,-0.12312504768444343,0.026230258640421056,-0.5576714732585641,0.08545052262149966,-0.2319371328297848,0.9546044098573248,-0.49134050507362304,-0.0030518043793392735,0.2410925459678026,8955.598411297704,-0.12286564431219915,-0.124098420691233,-0.00025940337224383825,-0.0060425726710917615,-0.24800503547722563,-0.00025940337224383825,0,1,0,0.9999542229343099
